,Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],Adjusted savings: carbon dioxide damage (% of GNI) [NY.ADJ.DCO2.GN.ZS],Adjusted savings: consumption of fixed capital (% of GNI) [NY.ADJ.DKAP.GN.ZS],Adjusted savings: education expenditure (% of GNI) [NY.ADJ.AEDU.GN.ZS],Adjusted savings: energy depletion (% of GNI) [NY.ADJ.DNGY.GN.ZS],Adjusted savings: mineral depletion (% of GNI) [NY.ADJ.DMIN.GN.ZS],Adjusted savings: mineral depletion (current US$) [NY.ADJ.DMIN.CD],Adjusted savings: natural resources depletion (% of GNI) [NY.ADJ.DRES.GN.ZS],Adjusted savings: net forest depletion (% of GNI) [NY.ADJ.DFOR.GN.ZS],Adjusted savings: particulate emission damage (% of GNI) [NY.ADJ.DPEM.GN.ZS],Age dependency ratio (% of working-age population) [SP.POP.DPND],"Age dependency ratio, old (% of working-age population) [SP.POP.DPND.OL]","Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]","Contributing family workers, total (% of total employment) (modeled ILO estimate) [SL.FAM.WORK.ZS]","Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD]","Employers, total (% of total employment) (modeled ILO estimate) [SL.EMP.MPYR.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Exports of goods and services (current US$) [NE.EXP.GNFS.CD],Final consumption expenditure (current US$) [NE.CON.TOTL.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP (current US$) [NY.GDP.MKTP.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS],General government final consumption expenditure (current US$) [NE.CON.GOVT.CD],GNI (current US$) [NY.GNP.MKTP.CD],"GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]","Imports of goods and services (BoP, current US$) [BM.GSR.GNFS.CD]",Imports of goods and services (current US$) [NE.IMP.GNFS.CD],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Industry (including construction), value added (annual % growth) [NV.IND.TOTL.KD.ZG]","Industry (including construction), value added (current US$) [NV.IND.TOTL.CD]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Manufacturing, value added (annual % growth) [NV.IND.MANF.KD.ZG]","Manufacturing, value added (current US$) [NV.IND.MANF.CD]","Population, total [SP.POP.TOTL]",Total tax and contribution rate (% of profit) [IC.TAX.TOTL.CP.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Wage and salaried workers, total (% of total employment) (modeled ILO estimate) [SL.EMP.WORK.ZS]",Access to clean fuels and technologies for cooking (% of population) [EG.CFT.ACCS.ZS],"Access to clean fuels and technologies for cooking, rural (% of rural population) [EG.CFT.ACCS.RU.ZS]","Access to clean fuels and technologies for cooking, urban (% of urban population) [EG.CFT.ACCS.UR.ZS]",Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",Agricultural methane emissions (thousand metric tons of CO2 equivalent) [EN.ATM.METH.AG.KT.CE],Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.AG.KT.CE],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",CO2 emissions (kg per 2015 US$ of GDP) [EN.ATM.CO2E.KD.GD],CO2 emissions (kg per 2017 PPP $ of GDP) [EN.ATM.CO2E.PP.GD.KD],CO2 emissions (kg per PPP $ of GDP) [EN.ATM.CO2E.PP.GD],CO2 emissions (kt) [EN.ATM.CO2E.KT],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Methane emissions (kt of CO2 equivalent) [EN.ATM.METH.KT.CE],Nitrous oxide emissions (thousand metric tons of CO2 equivalent) [EN.ATM.NOXE.KT.CE],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],Renewable internal freshwater resources per capita (cubic meters) [ER.H2O.INTR.PC],"Renewable internal freshwater resources, total (billion cubic meters) [ER.H2O.INTR.K3]",Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]
0,16815188085.0,458.3445658,1.59805471,7.417783778,2.594447304,0.154941595,0.0,0.0,0.397920793,0.242979198,2.15591464,89.09145113,4.551607034,84.53984409,23.45000076,294.3091126,2.720000029,21.4471955469,3990656171.11,19169661969.87,1.189228128,18418848300.0,502.0567706,11.62344272648,2768512348.178,18610257350.0,78210930485.0,7987638963.0,7129613061.114,13.38724696,11.07464165,2465776709.0,0.626149149,2.071348579,6.160177217,22.92105994,1134633696.0,36686784.0,71.4,11.10999966,17.65999985,30.9,13.85,81.6,96.61613464,95.58617401,99.62602234,10540.0,4310.0,43.01590668,0.285766336,0.080290564,0.078417169,6070.000172,0.165454682,15909.99985,4690.0,17.96,1285.203958,47.15,27690.00053
1,12379624247.0,4318.911492,1.43903045,17.03087079,3.303908552,0.991616178,0.018861857,2855306.65,1.190625791,0.180147756,0.248199717,46.91493375,21.81734497,25.09758878,21.48999977,726.9824829,3.289999962,31.57192721,4785177777.0,13700536535.0,4.019359685,15156432310.0,5287.663694,11.28655961,1710639768.0,15137993151.0,38643834443.0,6854286782.0,6856192656.0,21.27930613,9.79454269,3225183629.0,2.028059631,1.473058103,6.133261972,6.259228698,929583699.1,2866376.0,37.3,12.30000019,44.52000046,79.8,62.5,92.2,100.0,100.0,100.0,2010.0,960.0,3.56133829,0.40228437,0.133868236,0.132072384,5110.000134,1.782738948,3009.99999,1080.0,38.11,9384.672492,26.9,9449.999809
2,136879000000.0,3264.69429,3.475098132,8.541906095,4.4671956,11.40932931,0.002647446,4527131.881,11.41197675,0.0,0.35206181,55.95386412,8.843218841,47.11064528,1.889999986,734.9904175,4.630000114,25.86115082,45233966129.0,103674000000.0,1.2,174911000000.0,4171.795011,17.25792953,30185996168.0,170507000000.0,490702000000.0,60088713451.0,56328895705.0,38.80518639,-1.231830461,67874492469.0,4.269990205,6.757340879,26.54995282,-4.603222253,46438755749.0,41927007.0,66.1,10.41600037,68.01999664,99.6,98.7,100.0,99.69783783,99.07130432,99.93395233,6820.0,5530.0,87.15212946,0.9427128,0.336715967,0.328859478,165539.9933,3.948290258,94400.00153,12510.0,0.19,268.251917,11.247,278029.9988
3,1067321400.4100004,9862.418543630003,1.9726295025500011,10.470672782870004,11.760709,0.4863196904943753,9.308967e-05,0.0,0.6835428071799997,0.4406335357499998,0.6555137717600001,54.72729016,8.952934786,45.77435537,3.3073000015700007,952.6548295672002,3.050299997439998,68.23161189,436000000.0,1095037973.5110004,2.671118531,639000000.0,13195.9359,32.36385533360001,364162500.2239999,1016557591.3222002,1561620019.9730003,821264934.6663002,662000000.0,27.093101033899995,3.57222193685,288504576.3386,2.449297931150002,1.695361071,13.92801252,16.86746988,89000000.0,48424.0,37.31899999999998,11.643939932780002,65.83250024789999,44.29599999999999,20.18500000000001,70.66449999999998,64.30110374439997,40.07230523533999,88.3463465127,19856.7,8021.0,54.85636771677997,0.5506053552900002,0.20799817962,0.2031379776399999,174855.301167214,4.268198050780001,80874.7000652,9969.3,0.49,9259.463193246003,120.58270200000004,265788.5009283999
4,3912236098.253,37156.24747940001,0.68783761941,13.595766705740004,2.44,0.0226019085025179,0.0,0.0,0.1586466071,0.0711549347399999,0.0573198151,38.13092717,18.66126508,19.46966209,0.8249999951899996,3607.000977,3.962100003410002,98.8155691451,61085017988.08,3741523096.82,1.58876549,3218316013.0,42903.44358,16.827462970530004,3636905866.469,5277538409.23,7838323170.46,44707229215.08,45397960863.67,11.07633372,8.245731753,356471421.8,1.7467364803700005,1.01247848,3.610284486,-2.170767004,116190363.7,75013.0,30.692999999999994,9.179210028569996,85.91290008490003,100.0,100.0,100.0,100.0,100.0,100.0,28.2,12.5,14.551136271090002,0.166129496,0.2076522054799999,0.2031028213399999,490.0000095,6.532201212,50.00000075,0.0,18.58,4207.27074,0.3156,620.0000048
5,64167495601.0,2051.814728,1.14535576,8.524415033,3.57,22.40878537,0.0,0.0,22.86462639,0.45584102,0.734279632,92.69857202,4.932187254,87.76638477,11.72999954,188.5054779,5.260000229,40.83628983,31767752272.0,51993702557.0,-1.316312102,77792944472.0,2487.500996,10.47454356,8148455858.0,71783442934.0,203242000000.0,25887355607.0,19869658777.0,47.93154185,-4.51647408,37287357737.0,19.63059436,28.16702885,6.059469233,0.571521066,4713839536.0,31273533.0,49.1,9.522000313,21.62000084,49.1,8.1,77.7,45.29000092,7.333445072,65.26999664,16220.0,16140.0,0.476824324,0.28617562,0.111380768,0.108781955,23959.99908,0.766143022,34000.0,16840.0,57.36,4732.436211,148.0,75239.99786
6,1302976518.4420004,13545.032756369996,1.358995216,10.81474663,2.25,0.0,0.0,0.0,0.13802060816,0.06071714643,0.1764724468399999,40.56732584,12.77173496,27.79559087,2.13940000225,1049.156006,4.23780000695,64.52485557,1036233333.0,1099228000.0,6.883640817,1605944444.0,17527.16963,15.24220431,244781333.3,1527993259.0,1971358281.0,1132905851.0,1132821926.0,21.1069983,20.02664938,338966666.7,1.207157934,2.352816325,2.474602461,6.621685235,39740740.74,91626.0,42.8,12.141100004469996,77.93780014100007,100.0,100.0,100.0,100.0,100.0,100.0,10.0,10.0,8.461538462,0.328053121,0.252028048,0.246147556,509.9999905,5.566105586,200.000003,10.0,0.9,567.5245018,0.052,1190.000057
7,436649000000.0,9813.558914,1.373697398,12.0591991,4.991214389,1.520038904,0.126410862,639638962.7,1.646449766,0.0,0.145602147,55.40717362,17.80928164,37.59789199,0.550000012,2260.395752,3.910000086,14.43668575,75766577039.0,447542000000.0,-2.617396463,524820000000.0,11795.15939,15.80509716,82948270262.0,506094000000.0,999331000000.0,86821661280.0,85681285076.0,23.71959233,-3.049315189,124485000000.0,32.872798916410005,42.03366896,14.0601434,-4.804922545,73790408468.0,44494502.0,106.0,9.220000267,74.47000122,99.8,96.6,99.9,99.98957825,99.87181091,100.0,85430.0,45340.0,12.90753425,0.303369056,0.174780399,0.170702302,176899.9939,3.975771971,127540.0009,48210.0,10.52,6562.608567,292.0,375100.0061
8,10948267394.0,3859.70294,1.717831912,12.83317843,2.290981126,9.05005e-09,0.413370901,52325780.5,0.676087628,0.262716718,0.336637778,46.68927941,17.03128378,29.65799563,1.360000014,1303.190796,0.879999995,39.39289403,4907543854.0,11372553640.0,5.2,12457941907.0,4391.923697,11.48669032,1431005207.0,12658282416.0,39046324639.0,6679769678.0,6612702099.0,24.75655785,3.708078509,3084157595.0,2.52023382,2.787709514,11.27191844,11.2,1404249051.0,2836557.0,18.5,13.21000004,64.41999817,98.0,95.5,99.6,99.90000153,99.90000153,99.90000153,680.0,1070.0,39.56845021,0.477479083,0.152138026,0.148588237,5710.000038,2.013003806,2349.999905,1170.0,11.13,2418.072332,6.859,9439.99958
9,2648429842.0,24994.14735,1.7433277462100008,11.46866629,5.751986049,0.0,0.0,0.0,0.002006904,0.002006904,0.1703145264800001,46.36848358,19.92015913,26.44832445,0.6824000023899999,2311.500085505001,3.97509996425,73.79623168,2363128492.0,2537430168.0,5.257855673,3202234637.0,30220.59452,23.55198883,754189944.1,2987486034.0,4120241310.0,2269860628.0,2389944134.0,11.43756106,6.43746913373,366257541.9,3.626041414,-1.613833701,3.129640614,6.543400747599999,100218435.8,105962.0,35.062999999999995,9.302200014260002,85.54799934319999,46.764500000000005,22.676000000000013,70.5895,100.0,100.0,100.0,17600.9,8871.5,16.2182404099,0.5106969946699997,0.2076148528999999,0.2029489203299999,186947.30118779297,6.099632528009998,48918.90003289998,10535.7,8.02,3256.407810874201,102.854902,282646.0016861
